"id","age","gender","data_parar","beber_agua","comer","ler_razoes","relaxamento","tentou_parar","ladder"
995,50,1,0,0,0,0,0,0,8
997,44,1,1,0,0,1,1,0,8
999,49,1,0,1,0,0,0,0,5
1004,57,1,0,0,0,0,0,0,7
1007,48,1,0,1,1,0,1,0,5
1012,43,1,1,0,1,0,0,0,5
1013,51,0,0,0,0,0,0,0,8
1014,54,1,1,1,1,1,1,1,7
1015,56,1,0,0,0,0,0,0,6
1020,50,0,0,0,0,0,0,0,4
1021,56,1,0,1,0,0,0,0,8
1022,58,1,0,0,0,0,0,0,5
1023,38,1,0,1,0,0,0,0,5
1024,48,1,0,0,0,0,0,0,8
1028,27,0,0,1,0,0,0,0,8
1029,37,0,0,1,1,0,0,0,7
1033,46,0,0,0,0,0,0,0,7
1034,27,0,0,1,1,0,0,1,5
1035,44,1,0,1,1,0,1,0,6
1036,59,1,0,1,0,1,0,0,8
1037,36,1,0,0,0,0,1,0,8
1038,35,1,0,1,1,0,0,0,1
1039,33,0,0,1,0,0,1,0,9
1043,51,0,0,1,1,1,1,0,8
1045,37,0,1,0,1,1,0,1,7
1053,26,0,1,0,0,0,0,1,8
1054,37,1,0,1,0,0,0,1,9
1056,39,1,0,1,0,0,0,0,5
1057,37,1,1,0,1,0,0,1,8
1058,52,0,0,1,0,0,1,0,5
1060,39,1,0,0,0,0,0,0,7
1061,27,1,0,0,0,0,0,0,5
1065,52,1,0,1,0,0,0,1,7
1066,58,1,0,1,0,0,0,0,7
1068,45,1,1,1,1,0,1,1,8
1070,52,1,0,1,0,0,0,1,8
1072,52,1,1,1,0,1,0,1,7
1074,48,1,1,0,0,1,0,1,5
1075,57,1,0,1,0,0,0,0,8
1076,52,1,1,0,0,0,1,1,4
1078,43,1,0,0,0,0,0,0,3
1080,55,1,1,1,0,0,1,1,5
1082,24,0,0,1,0,0,0,1,8
1087,54,1,0,1,0,0,1,0,5
1090,35,0,1,1,1,0,1,0,7
1093,38,0,0,0,0,0,0,0,5
1094,54,1,0,1,0,0,0,1,7
1096,60,0,0,0,0,0,1,0,7
1097,52,1,1,1,1,0,0,1,4
1101,59,1,0,1,0,0,0,1,9
1102,49,1,0,1,0,0,1,0,4
1104,60,0,0,0,0,0,1,0,8
1105,55,1,0,1,0,0,0,0,9
1106,42,1,1,0,1,0,0,1,8
1111,51,1,1,0,0,0,0,1,7
1115,53,1,0,1,1,0,0,0,8
1116,48,1,0,0,1,0,0,0,5
1117,54,1,0,0,0,0,0,0,7
1118,60,1,1,1,0,0,0,1,5
1119,34,0,0,1,0,1,0,1,5
1123,23,0,1,1,1,1,1,1,8
1130,33,1,0,1,1,0,1,0,7
1132,29,1,0,0,1,0,0,0,8
1136,54,1,1,1,0,1,0,0,5
1137,43,1,0,1,0,0,0,0,8
1144,49,1,0,0,0,0,0,0,5
1149,42,0,0,0,1,0,0,0,7
1151,55,0,0,0,0,0,0,0,9
1152,34,0,0,0,1,0,0,0,6
1161,53,1,0,1,0,0,0,0,5
1162,24,0,0,1,1,1,1,0,5
1163,47,1,0,0,0,0,0,0,4
1166,67,1,1,0,0,0,0,1,5
1167,22,0,0,1,0,0,0,0,7
1169,56,0,1,1,0,0,0,1,7
1171,57,1,0,0,1,0,0,0,5
1175,32,1,0,0,0,0,0,0,8
1176,39,0,0,0,0,0,0,0,8
1180,50,0,0,0,0,0,0,0,7
1182,41,0,1,0,0,1,0,1,6
1183,40,1,0,0,0,0,0,1,7
1184,39,0,0,0,0,0,0,0,7
1185,33,0,0,0,1,0,0,0,5
1186,46,1,1,1,0,0,0,1,4
1187,35,0,1,1,0,0,0,1,7
1190,51,1,1,1,0,0,0,1,8
1191,54,1,0,0,0,1,0,1,10
1193,34,1,0,0,0,0,0,1,8
1194,55,0,0,1,0,0,0,1,4
1202,36,0,1,1,0,0,0,1,5
1204,29,1,0,0,0,0,0,0,9
1209,25,1,1,0,0,0,1,0,8
1211,56,1,1,0,0,0,0,1,7
1214,36,1,0,1,0,0,0,1,8
1215,31,0,0,0,1,0,0,1,5
1216,49,0,1,0,0,0,1,1,7
1218,53,0,0,1,0,1,0,0,5
1219,37,1,0,1,0,1,1,1,9
1220,61,1,0,0,0,0,0,0,8
1222,55,1,0,1,0,1,1,1,10
1223,26,1,0,1,0,0,1,0,8
1226,55,1,0,0,0,0,0,0,7
1227,36,1,0,1,1,1,0,1,8
1228,51,1,0,1,0,0,0,0,5
1230,31,1,1,1,0,0,1,1,5
1231,33,1,0,1,0,0,0,1,7
1232,27,0,0,0,0,0,0,0,5
1234,26,0,0,0,0,0,0,0,7
1235,53,0,1,0,1,1,0,1,8
1237,48,0,0,0,0,0,0,0,9
1238,53,1,1,0,1,0,0,1,8
1239,31,0,0,0,0,0,0,0,10
1241,23,0,0,0,0,0,0,0,8
1242,50,1,0,1,0,0,0,0,7
1243,16,0,1,0,1,0,1,1,8
1245,48,1,0,1,0,0,0,0,7
1247,35,0,1,0,0,0,0,1,7
1252,24,1,1,1,0,0,0,1,9
1254,26,1,0,1,0,0,0,1,10
1264,34,1,0,1,0,0,0,1,8
1265,54,0,0,1,0,0,0,0,6
1267,29,0,0,0,0,0,0,0,9
1268,32,1,1,1,0,0,1,1,6
1269,51,1,1,1,0,0,1,1,8
1271,51,1,0,0,0,0,0,0,5
1274,18,0,0,0,0,0,0,0,7
1275,37,1,0,1,0,1,0,0,8
1276,50,1,1,0,0,0,1,1,5
1278,57,0,0,0,1,0,0,0,5
1280,22,0,1,1,0,0,0,1,5
1281,63,1,0,0,0,0,0,0,8
1282,48,0,1,1,0,0,0,1,8
1285,19,0,0,0,0,0,0,0,8
1286,59,0,1,0,1,0,0,1,7
1287,49,0,1,1,0,0,0,1,7
1289,34,1,1,1,1,0,0,1,7
1290,32,1,1,1,1,1,1,1,9
1293,50,0,1,1,0,0,0,1,4
1297,44,0,0,0,1,0,0,0,8
1303,22,1,1,0,0,1,0,1,7
1304,19,0,0,1,0,0,0,1,8
1305,18,0,1,1,0,1,0,1,5
1306,56,1,0,1,0,0,0,0,5
1307,32,0,0,0,0,0,0,0,7
1308,33,0,0,1,1,0,0,1,8
1310,55,1,0,0,0,0,0,0,7
1316,52,0,1,1,0,0,0,0,7
1317,51,1,0,1,0,0,0,0,10
1318,32,1,1,0,0,0,1,1,7
1319,51,1,0,0,0,0,0,0,5
1320,40,0,1,1,0,1,0,1,5
1323,33,1,0,1,0,0,1,0,8
1330,50,1,0,1,0,0,0,0,7
1331,24,0,0,1,0,0,0,0,7
1333,29,0,1,1,1,0,0,1,8
1334,40,1,1,1,1,0,1,1,8
1335,59,1,1,1,1,0,0,1,5
1337,28,0,0,1,0,0,0,1,8
1338,38,1,1,0,0,0,1,1,8
1340,39,0,1,0,1,0,1,1,7
1341,57,0,0,0,0,0,0,0,7
1342,52,1,0,1,0,0,0,1,7
1343,38,0,0,0,0,0,0,0,5
1345,40,1,0,0,0,0,0,0,4
1348,52,1,1,0,1,0,0,1,9
1351,33,0,1,1,0,0,0,1,8
1354,37,1,0,1,0,0,0,0,8
1355,52,1,0,0,1,0,0,0,7
1356,40,1,1,1,1,0,0,1,7
1357,21,1,0,1,0,0,0,1,8
1360,49,1,0,1,0,0,0,0,7
1362,60,1,1,1,0,0,0,1,7
1367,19,0,1,1,0,0,0,0,9
1369,34,1,1,0,0,0,0,1,6
1374,55,1,1,0,0,0,0,0,7
1375,56,0,1,1,0,0,0,1,8
1376,55,0,1,1,0,0,0,0,10
1377,54,0,1,0,0,1,1,0,5
1379,56,0,0,1,0,0,0,0,5
1380,41,1,1,0,1,0,0,0,9
1381,36,0,0,0,0,0,0,0,7
1382,47,1,1,1,0,0,0,1,7
1383,42,0,0,1,0,0,1,0,8
1386,40,0,0,0,0,0,0,0,5
1387,59,1,0,0,0,0,0,0,8
1388,52,1,0,0,0,0,0,0,7
1390,20,0,0,0,0,0,0,0,7
1391,37,0,1,1,0,0,0,1,8
1393,43,0,0,0,1,0,0,0,1
1394,39,0,1,0,0,0,0,1,7
1395,48,0,0,0,0,0,0,0,7
1396,53,1,1,1,1,0,1,1,5
1398,39,0,1,0,0,0,0,0,6
1400,24,0,1,1,0,0,1,1,8
1401,59,1,1,1,0,0,0,0,5
1402,57,1,0,0,1,0,0,1,8
1406,23,1,0,0,0,0,0,0,8
1408,37,0,0,0,0,0,0,1,8
1411,39,0,0,1,0,0,1,1,10
1412,42,0,0,0,0,0,0,0,5
1413,26,1,1,0,0,0,1,1,4
1415,21,0,0,0,0,1,0,1,8
1418,28,1,0,0,0,0,0,0,7
1422,56,1,0,1,0,0,0,1,8
1425,34,1,0,0,0,0,1,1,8
1426,20,1,0,0,0,0,1,1,9
1429,32,1,1,1,1,0,0,1,7
1434,51,1,0,0,0,0,0,0,7
1435,51,1,1,1,0,0,0,1,8
1439,65,1,0,1,0,0,0,1,8
1440,34,1,0,1,0,0,0,0,9
1441,35,0,1,1,1,0,0,1,9
1444,20,0,0,1,1,0,0,0,4
1446,25,0,0,0,0,0,0,1,10
1449,54,1,0,1,0,0,0,1,9
1450,21,1,0,1,0,0,1,0,9
1451,59,1,0,0,0,0,0,0,7
1454,35,1,0,1,1,0,0,1,8
1458,39,0,1,1,0,1,0,1,7
